cell                                     n     exp     t  defl    PF   maxDD  GATE
XAUUSD.saleh_squeeze.L                  65  +0.070  0.43 -1.07  1.13   -13.3  fail
XAUUSD.saleh_squeeze.S                  63  +0.077  0.46 -1.04  1.14    -7.7  fail
XAUUSD.saleh_ema_bank.L                346  +0.084  1.03 -0.47  1.13   -19.6  fail
XAUUSD.saleh_ema_bank.S                300  -0.210 -2.84 -4.34  0.70   -75.1  fail
XAUUSD.saleh_turtle.L                  450  +0.191  2.76  1.26  1.32   -30.9  fail
XAUUSD.saleh_turtle.S                  303  -0.046 -0.58 -2.08  0.93   -40.4  fail
XAUUSD.saleh_kama_dir.L               1321  +0.131  3.55  2.05  1.24   -21.7  PASS
XAUUSD.saleh_kama_dir.S               1230  -0.072 -1.85 -3.35  0.88  -143.6  fail
XAUUSD.saleh_kama_er.L                1156  +0.135  3.42  1.92  1.24   -17.2  fail
XAUUSD.saleh_kama_er.S                1066  -0.076 -1.80 -3.30  0.88  -121.9  fail
XAUUSD.saleh_gator_dir.L              1156  +0.086  2.20  0.70  1.15   -33.6  fail
XAUUSD.saleh_gator_dir.S               869  -0.088 -2.05 -3.55  0.86   -95.1  fail
XAUUSD.saleh_gator_adx.L               724  +0.046  0.95 -0.55  1.08   -33.2  fail
XAUUSD.saleh_gator_adx.S               554  -0.083 -1.56 -3.06  0.86   -61.2  fail
XAUUSD.saleh_gator_cmo.L               909  +0.107  2.39  0.89  1.19   -31.4  fail
XAUUSD.saleh_gator_cmo.S               636  -0.048 -0.95 -2.45  0.92   -46.7  fail
XAUUSD.saleh_gator_rs.L                506  +0.087  1.51  0.01  1.16   -21.0  fail
XAUUSD.saleh_gator_rs.S                415  -0.113 -1.85 -3.35  0.82   -57.1  fail
XAUUSD.saleh_gator_htf.L               961  +0.115  2.67  1.17  1.21   -40.9  fail
XAUUSD.saleh_gator_htf.S               419  -0.093 -1.52 -3.02  0.85   -53.4  fail
EURUSD.saleh_squeeze.L                  81  +0.163  1.02 -0.48  1.28   -10.8  fail
EURUSD.saleh_ema_bank.L                330  -0.067 -0.83 -2.33  0.90   -33.6  fail
EURUSD.saleh_ema_bank.S                370  -0.144 -2.00 -3.50  0.80   -62.7  fail
EURUSD.saleh_turtle.L                  383  -0.105 -1.46 -2.96  0.85   -55.4  fail
EURUSD.saleh_turtle.S                  404  -0.032 -0.45 -1.95  0.95   -37.6  fail
EURUSD.saleh_kama_dir.L               1314  -0.074 -2.07 -3.57  0.88  -116.0  fail
EURUSD.saleh_kama_dir.S               1336  -0.042 -1.18 -2.68  0.93   -99.7  fail
EURUSD.saleh_kama_er.L                1151  -0.070 -1.75 -3.25  0.89   -98.2  fail
EURUSD.saleh_kama_er.S                1163  -0.075 -2.00 -3.50  0.88  -118.8  fail
EURUSD.saleh_gator_dir.L              1016  -0.101 -2.51 -4.01  0.84  -110.1  fail
EURUSD.saleh_gator_dir.S              1045  -0.074 -1.84 -3.34  0.89   -82.8  fail
EURUSD.saleh_gator_adx.L               599  -0.151 -2.92 -4.42  0.77   -98.6  fail
EURUSD.saleh_gator_adx.S               629  -0.040 -0.77 -2.27  0.94   -37.2  fail
EURUSD.saleh_gator_cmo.L               762  -0.096 -2.06 -3.56  0.85   -79.9  fail
EURUSD.saleh_gator_cmo.S               769  -0.043 -0.93 -2.43  0.93   -45.6  fail
EURUSD.saleh_gator_rs.L                436  -0.083 -1.33 -2.83  0.87   -42.4  fail
EURUSD.saleh_gator_rs.S                480  -0.119 -2.03 -3.53  0.82   -67.0  fail
EURUSD.saleh_gator_htf.L               603  -0.091 -1.73 -3.23  0.86   -65.4  fail
EURUSD.saleh_gator_htf.S               702  -0.072 -1.48 -2.98  0.89   -59.6  fail
GBPUSD.saleh_squeeze.L                  64  -0.413 -3.15 -4.65  0.42   -27.2  fail
GBPUSD.saleh_squeeze.S                  62  -0.060 -0.36 -1.86  0.91   -10.0  fail
GBPUSD.saleh_ema_bank.L                356  -0.046 -0.63 -2.13  0.93   -30.8  fail
GBPUSD.saleh_ema_bank.S                346  -0.018 -0.22 -1.72  0.97   -21.6  fail
GBPUSD.saleh_turtle.L                  389  -0.068 -0.94 -2.44  0.90   -66.9  fail
GBPUSD.saleh_turtle.S                  397  -0.005 -0.07 -1.57  0.99   -38.6  fail
GBPUSD.saleh_kama_dir.L               1308  -0.025 -0.68 -2.18  0.96   -59.9  fail
GBPUSD.saleh_kama_dir.S               1323  -0.036 -1.00 -2.50  0.94   -75.2  fail
GBPUSD.saleh_kama_er.L                1137  -0.045 -1.14 -2.64  0.93   -66.2  fail
GBPUSD.saleh_kama_er.S                1123  -0.026 -0.68 -2.18  0.96   -45.2  fail
GBPUSD.saleh_gator_dir.L              1040  -0.012 -0.28 -1.78  0.98   -28.2  fail
GBPUSD.saleh_gator_dir.S              1010  +0.003  0.08 -1.42  1.01   -48.3  fail
GBPUSD.saleh_gator_adx.L               607  -0.051 -0.95 -2.45  0.92   -53.3  fail
GBPUSD.saleh_gator_adx.S               640  -0.031 -0.61 -2.11  0.95   -35.8  fail
GBPUSD.saleh_gator_cmo.L               780  -0.006 -0.12 -1.62  0.99   -25.2  fail
GBPUSD.saleh_gator_cmo.S               774  +0.004  0.08 -1.42  1.01   -45.7  fail
GBPUSD.saleh_gator_rs.L                454  -0.033 -0.52 -2.02  0.95   -25.9  fail
GBPUSD.saleh_gator_rs.S                438  -0.065 -1.08 -2.58  0.89   -41.6  fail
GBPUSD.saleh_gator_htf.L               715  -0.011 -0.22 -1.72  0.98   -29.7  fail
GBPUSD.saleh_gator_htf.S               617  +0.021  0.39 -1.11  1.03   -35.2  fail
USDJPY.saleh_squeeze.L                  64  +0.005  0.03 -1.47  1.01    -9.7  fail
USDJPY.saleh_squeeze.S                  65  -0.026 -0.16 -1.66  0.96   -17.8  fail
USDJPY.saleh_ema_bank.L                378  -0.014 -0.18 -1.68  0.98   -41.3  fail
USDJPY.saleh_ema_bank.S                293  -0.141 -1.76 -3.26  0.80   -49.0  fail
USDJPY.saleh_turtle.L                  477  +0.128  1.88  0.38  1.20   -18.0  fail
USDJPY.saleh_turtle.S                  360  -0.072 -0.96 -2.46  0.90   -52.5  fail
USDJPY.saleh_kama_dir.L               1381  +0.018  0.51 -0.99  1.03   -64.6  fail
USDJPY.saleh_kama_dir.S               1295  -0.073 -2.06 -3.56  0.88  -120.8  fail
USDJPY.saleh_kama_er.L                1203  +0.020  0.53 -0.97  1.03   -52.4  fail
USDJPY.saleh_kama_er.S                1145  -0.093 -2.47 -3.97  0.85  -127.9  fail
USDJPY.saleh_gator_dir.L              1211  -0.010 -0.27 -1.77  0.98   -48.9  fail
USDJPY.saleh_gator_dir.S               907  -0.119 -2.82 -4.32  0.82  -121.1  fail
USDJPY.saleh_gator_adx.L               661  -0.046 -0.90 -2.40  0.93   -40.6  fail
USDJPY.saleh_gator_adx.S               589  -0.105 -2.03 -3.53  0.83   -73.0  fail
USDJPY.saleh_gator_cmo.L               901  +0.020  0.46 -1.04  1.03   -34.2  fail
USDJPY.saleh_gator_cmo.S               671  -0.083 -1.67 -3.17  0.87   -72.3  fail
USDJPY.saleh_gator_rs.L                530  +0.047  0.78 -0.72  1.08   -20.1  fail
USDJPY.saleh_gator_rs.S                399  -0.161 -2.64 -4.14  0.75   -71.0  fail
USDJPY.saleh_gator_htf.L               903  +0.001  0.02 -1.48  1.00   -40.7  fail
USDJPY.saleh_gator_htf.S               469  -0.064 -1.08 -2.58  0.90   -54.7  fail
EURJPY.saleh_squeeze.L                  59  +0.281  1.26 -0.24  1.48    -8.6  fail
EURJPY.saleh_squeeze.S                  80  -0.112 -0.86 -2.36  0.81    -9.0  fail
EURJPY.saleh_ema_bank.L                375  -0.035 -0.47 -1.97  0.95   -37.6  fail
EURJPY.saleh_ema_bank.S                324  -0.053 -0.65 -2.15  0.92   -39.0  fail
EURJPY.saleh_turtle.L                  430  +0.050  0.71 -0.79  1.08   -24.4  fail
EURJPY.saleh_turtle.S                  373  -0.112 -1.57 -3.07  0.84   -51.1  fail
