cell                                 n     exp     t    PF   maxDD
XAUUSD.usmacro_drift              2168  +0.001  0.04  1.00   -47.3
XAUUSD.usmacro_rev                2168  -0.006 -0.38  0.98   -46.4
XAUUSD.us1400_drift               2168  -0.021 -1.05  0.94   -87.5
XAUUSD.us1400_rev                 2168  +0.022  1.13  1.06   -29.7
EURUSD.usmacro_drift              2234  -0.046 -2.83  0.87  -120.8
EURUSD.usmacro_rev                2234  -0.074 -4.65  0.79  -178.8
EURUSD.us1400_drift               2228  -0.055 -2.39  0.87  -130.6
EURUSD.us1400_rev                 2228  -0.033 -1.69  0.92   -93.2
GBPUSD.usmacro_drift              2230  -0.044 -2.68  0.87  -121.8
GBPUSD.usmacro_rev                2230  -0.046 -2.79  0.87  -104.4
GBPUSD.us1400_drift               2233  -0.036 -1.74  0.92   -91.1
GBPUSD.us1400_rev                 2233  -0.019 -0.93  0.95   -75.4
USDJPY.usmacro_drift              2224  -0.043 -2.42  0.89  -106.6
USDJPY.usmacro_rev                2224  -0.035 -1.98  0.91  -109.1
USDJPY.us1400_drift               2231  -0.022 -1.07  0.95   -84.2
USDJPY.us1400_rev                 2231  -0.012 -0.59  0.97   -74.7
EURJPY.usmacro_drift              2230  -0.050 -2.86  0.87  -135.4
EURJPY.usmacro_rev                2230  -0.019 -1.09  0.95   -91.3
EURJPY.us1400_drift               2235  +0.094  3.52  1.23   -27.1
EURJPY.us1400_rev                 2235  -0.021 -0.94  0.95  -128.7
GBPJPY.usmacro_drift              2236  -0.007 -0.40  0.98   -40.3
GBPJPY.usmacro_rev                2236  -0.049 -2.83  0.87  -114.3
GBPJPY.us1400_drift               2233  +0.038  1.68  1.09   -34.2
GBPJPY.us1400_rev                 2233  -0.013 -0.58  0.97   -82.2
AUDUSD.usmacro_drift              1765  -0.079 -3.91  0.80  -143.0
AUDUSD.usmacro_rev                1765  -0.081 -4.06  0.80  -147.1
AUDUSD.us1400_drift               1769  -0.041 -1.63  0.91   -95.7
AUDUSD.us1400_rev                 1769  -0.053 -2.27  0.88  -103.6
USDCAD.usmacro_drift              2229  -0.061 -3.78  0.82  -160.2
USDCAD.usmacro_rev                2229  -0.050 -3.15  0.85  -114.4
USDCAD.us1400_drift               2233  -0.018 -0.99  0.95   -60.7
USDCAD.us1400_rev                 2233  -0.037 -2.06  0.90  -107.5
USDCHF.usmacro_drift              2228  -0.089 -5.53  0.75  -198.6
USDCHF.usmacro_rev                2228  -0.057 -3.54  0.83  -148.3
USDCHF.us1400_drift               2233  -0.199 -0.63  0.74  -725.8
USDCHF.us1400_rev                 2233  +0.176  1.56  1.41  -123.7
NZDUSD.usmacro_drift              2232  -0.080 -2.25  0.81  -183.1
NZDUSD.usmacro_rev                2232  -0.061 -3.38  0.85  -141.5
NZDUSD.us1400_drift               2231  +0.046  1.45  1.10   -48.4
NZDUSD.us1400_rev                 2231  -0.049 -2.18  0.89  -134.1
EURGBP.usmacro_drift              2229  -0.124 -7.88  0.67  -275.9
EURGBP.usmacro_rev                2229  -0.094 -5.97  0.74  -214.6
EURGBP.us1400_drift               2223  -0.068 -2.43  0.86  -154.7
EURGBP.us1400_rev                 2223  -0.004 -0.13  0.99   -81.8
EURCHF.usmacro_drift              2233  -0.132 -8.12  0.66  -303.8
EURCHF.usmacro_rev                2233  -0.120 -7.36  0.69  -267.1
EURCHF.us1400_drift               2226  +0.578  0.81  1.69  -765.9
EURCHF.us1400_rev                 2226  -0.045 -0.72  0.92  -232.6
AUDJPY.usmacro_drift              1767  -0.031 -1.47  0.92   -61.4
AUDJPY.usmacro_rev                1767  -0.062 -2.97  0.85  -120.7
AUDJPY.us1400_drift               1768  -0.272 -0.85  0.63  -566.8
AUDJPY.us1400_rev                 1768  -0.047 -1.92  0.90  -102.9
CADJPY.usmacro_drift              2228  -0.040 -2.32  0.89   -97.1
CADJPY.usmacro_rev                2228  -0.045 -2.58  0.88  -114.8
CADJPY.us1400_drift               2234  +0.019  0.92  1.05   -41.8
CADJPY.us1400_rev                 2234  +0.063  0.61  1.15  -100.0
NZDJPY.usmacro_drift              2231  -0.068 -3.65  0.84  -156.7
NZDJPY.usmacro_rev                2231  -0.052 -2.76  0.87  -121.5
NZDJPY.us1400_drift               2231  +0.061  2.08  1.14   -93.1
