     sym family                     n   exp_R     t    PF maxDD_R          WF(oos)  GATE
  AUDNZD asia_momentum           1922  -0.162 -4.62  0.76  -332.3 [fail-fast]  fail
  AUDNZD momentum_volgate        6373  -0.534 -5.53  0.46 -3413.8 [fail-fast]  fail
  AUDNZD monday_gap               355  -1.421 -3.96  0.17  -505.2 [fail-fast]  fail
  AUDNZD monday_gap_fade          355  -0.530 -0.94  0.40  -212.9 [fail-fast]  fail
  AUDNZD london_close_momentum   1591  -0.143 -8.42  0.59  -234.7 [fail-fast]  fail
  AUDNZD spread_state_avoidance  8825  -0.431 -7.22  0.49 -3820.0 [fail-fast]  fail
  AUDNZD dow_effect               856  -0.322 -4.56  0.56  -280.0 [fail-fast]  fail
  AUDNZD comex_settlement         195  -0.498 -5.77  0.41   -95.9 [fail-fast]  fail
  AUDNZD breakout.asia.base      1921  -0.059 -3.89  0.80  -127.0 [fail-fast]  fail
  AUDNZD breakout.asia.spread_gate  1391  -0.045 -2.57  0.84   -77.0 [fail-fast]  fail
  AUDNZD breakout.london_am.base  2098  -0.199 -8.47  0.66  -431.5 [fail-fast]  fail
  AUDNZD breakout.london_am.spread_gate  1837  -0.191 -7.61  0.67  -360.9 [fail-fast]  fail
  AUDNZD breakout.ny_open.base   2144  -0.301 -11.46  0.59  -656.0 [fail-fast]  fail
  AUDNZD breakout.ny_open.spread_gate  1900  -0.322 -11.59  0.57  -610.6 [fail-fast]  fail
  AUDNZD breakout.afternoon.base  2096  -0.327 -14.51  0.49  -696.4 [fail-fast]  fail
  AUDNZD breakout.afternoon.spread_gate  1968  -0.332 -14.28  0.49  -661.9 [fail-fast]  fail
  AUDUSD asia_momentum           1847  -0.278 -3.76  0.66  -523.2 [fail-fast]  fail
  AUDUSD momentum_volgate        8929  -0.382 -8.22  0.55 -3408.1 [fail-fast]  fail
  AUDUSD monday_gap               332  -0.561 -3.28  0.51  -191.0 [fail-fast]  fail
  AUDUSD monday_gap_fade          332  -0.042 -0.70  0.92   -36.2 [fail-fast]  fail
  AUDUSD london_close_momentum   1728  -0.197 -7.26  0.54  -341.4 [fail-fast]  fail
  AUDUSD spread_state_avoidance 10361  -0.480 -4.57  0.47 -4995.3 [fail-fast]  fail
  AUDUSD dow_effect               856  -0.040 -0.72  0.94   -50.2 [fail-fast]  fail
  AUDUSD comex_settlement         329  -0.186 -2.57  0.71   -63.0 [fail-fast]  fail
  AUDUSD breakout.asia.base      2125   0.042  2.04  1.11   -20.4 [+0.021 +0.073 +0.032]  fail
