     sym family                   n   exp_R     t    PF maxDD_R          WF(oos)  GATE
  AUDJPY cot_net_fade           167   0.037  0.37  1.06   -19.1 [fail-fast]  fail
  AUDJPY cot_change_fade         57   0.154  0.89  1.27    -6.2 [fail-fast]  fail
  AUDJPY cot_change_momentum    449  -0.176 -3.00  0.75   -88.8 [fail-fast]  fail
  AUDJPY cot_comm_follow        449   0.044  0.72  1.07   -22.5 [fail-fast]  fail
  AUDUSD cot_net_fade           143  -0.388 -3.91  0.52   -54.9 [fail-fast]  fail
  AUDUSD cot_change_fade         62  -0.445 -3.00  0.47   -26.5 [fail-fast]  fail
  AUDUSD cot_change_momentum    449  -0.167 -2.81  0.77   -81.7 [fail-fast]  fail
  AUDUSD cot_comm_follow        449  -0.121 -2.01  0.83   -67.1 [fail-fast]  fail
  CADJPY cot_net_fade           167   0.071  0.71  1.12   -12.9 [fail-fast]  fail
  CADJPY cot_change_fade         57   0.159  0.91  1.28    -8.8 [fail-fast]  fail
  CADJPY cot_change_momentum    449  -0.168 -2.86  0.76   -83.9 [fail-fast]  fail
  CADJPY cot_comm_follow        449   0.058  0.95  1.10   -16.9 [fail-fast]  fail
  CHFJPY cot_net_fade           167  -0.068 -0.69  0.90   -27.1 [fail-fast]  fail
  CHFJPY cot_change_fade         57  -0.067 -0.40  0.90   -15.0 [fail-fast]  fail
  CHFJPY cot_change_momentum    449  -0.173 -2.95  0.75   -87.7 [fail-fast]  fail
  CHFJPY cot_comm_follow        449  -0.046 -0.76  0.93   -36.6 [fail-fast]  fail
  EURJPY cot_net_fade           167   0.017  0.17  1.03   -16.9 [fail-fast]  fail
  EURJPY cot_change_fade         57  -0.001 -0.01  1.00   -10.5 [fail-fast]  fail
  EURJPY cot_change_momentum    449  -0.218 -3.79  0.70  -103.7 [fail-fast]  fail
  EURJPY cot_comm_follow        449  -0.003 -0.05  0.99   -35.2 [fail-fast]  fail
  GBPJPY cot_net_fade           167   0.048  0.49  1.08   -20.4 [fail-fast]  fail
  GBPJPY cot_change_fade         57   0.103  0.60  1.18   -10.3 [fail-fast]  fail
  GBPJPY cot_change_momentum    449  -0.213 -3.72  0.70  -105.1 [fail-fast]  fail
  GBPJPY cot_comm_follow        449   0.088  1.44  1.15   -19.9 [fail-fast]  fail
  GBPUSD cot_net_fade           138  -0.247 -2.36  0.67   -44.4 [fail-fast]  fail
  GBPUSD cot_change_fade         56  -0.121 -0.71  0.82   -13.1 [fail-fast]  fail
  GBPUSD cot_change_momentum    449  -0.123 -2.07  0.82   -59.0 [fail-fast]  fail
  GBPUSD cot_comm_follow        449  -0.129 -2.17  0.81   -63.4 [fail-fast]  fail
  NZDJPY cot_net_fade           167  -0.024 -0.24  0.96   -26.9 [fail-fast]  fail
  NZDJPY cot_change_fade         57   0.016  0.10  1.03    -9.7 [fail-fast]  fail
  NZDJPY cot_change_momentum    449  -0.217 -3.74  0.70  -103.6 [fail-fast]  fail
  NZDJPY cot_comm_follow        449   0.125  2.04  1.22   -12.4 [+0.115 +0.074 +0.184]  fail
  NZDUSD cot_net_fade           131  -0.092 -0.83  0.86   -33.7 [fail-fast]  fail
  NZDUSD cot_change_fade         47  -0.610 -3.92  0.33   -31.7 [fail-fast]  fail
  NZDUSD cot_change_momentum    449  -0.104 -1.72  0.85   -63.1 [fail-fast]  fail
  NZDUSD cot_comm_follow        449  -0.179 -3.02  0.75   -84.9 [fail-fast]  fail
  USDCAD cot_net_fade           114  -0.207 -1.76  0.72   -28.0 [fail-fast]  fail
  USDCAD cot_change_fade         54  -0.058 -0.33  0.91   -10.6 [fail-fast]  fail
  USDCAD cot_change_momentum    449  -0.173 -2.93  0.76   -76.5 [fail-fast]  fail
  USDCAD cot_comm_follow        449  -0.086 -1.43  0.87   -54.5 [fail-fast]  fail
  USDCHF cot_net_fade           126  -0.005 -0.04  0.99   -27.1 [fail-fast]  fail
  USDCHF cot_change_fade         44  -0.422 -2.39  0.49   -20.0 [fail-fast]  fail
  USDCHF cot_change_momentum    449  -0.206 -3.49  0.72  -100.1 [fail-fast]  fail
  USDCHF cot_comm_follow        449  -0.125 -2.09  0.82   -63.4 [fail-fast]  fail
  USDJPY cot_net_fade           167   0.003  0.03  1.00   -25.8 [fail-fast]  fail
  USDJPY cot_change_fade         57   0.128  0.74  1.22   -10.0 [fail-fast]  fail
  USDJPY cot_change_momentum    449  -0.117 -1.98  0.83   -72.8 [fail-fast]  fail
  USDJPY cot_comm_follow        449   0.028  0.45  1.04   -13.6 [fail-fast]  fail
  XAGUSD cot_net_fade           130  -0.332 -3.06  0.58   -43.0 [fail-fast]  fail
  XAGUSD cot_change_fade         44  -0.313 -1.65  0.61   -19.3 [fail-fast]  fail
  XAGUSD cot_change_momentum    438  -0.189 -3.11  0.74   -85.2 [fail-fast]  fail
  XAGUSD cot_comm_follow        438  -0.260 -4.36  0.66  -112.5 [fail-fast]  fail
  XAUUSD cot_net_fade           138  -0.091 -0.86  0.86   -13.3 [fail-fast]  fail
  XAUUSD cot_change_fade         57   0.035  0.21  1.06    -7.4 [fail-fast]  fail
  XAUUSD cot_change_momentum    437   0.075  1.22  1.13   -11.4 [fail-fast]  fail
  XAUUSD cot_comm_follow        438  -0.022 -0.37  0.96   -26.0 [fail-fast]  fail

0 survivors of 56 tests across 14 symbols
