     sym test                             n   exp_R     t    PF maxDD_R          WF(oos)  GATE
  AUDJPY level_breakout.pdh.7.all      1473   0.014  0.98  1.07   -18.7 [fail-fast]  fail
  AUDJPY level_breakout.pdh.7.highvol  1372   0.013  0.91  1.07   -16.9 [fail-fast]  fail
  AUDJPY level_breakout.pdh.13.all     1317  -0.002 -0.12  0.99   -30.8 [fail-fast]  fail
  AUDJPY level_breakout.pdh.13.highvol  1241  -0.002 -0.14  0.99   -29.6 [fail-fast]  fail
  AUDJPY level_breakout.pdh.17.all     1188  -0.003 -0.17  0.99   -18.6 [fail-fast]  fail
  AUDJPY level_breakout.pdh.17.highvol  1138   0.002  0.12  1.01   -17.8 [fail-fast]  fail
  AUDJPY level_breakout.week.7          120  -0.022 -1.16  0.73    -3.7 [fail-fast]  fail
  AUDJPY failed_breakout.base           651  -0.544 -1.33  0.48  -359.8 [fail-fast]  fail
  AUDJPY failed_breakout.spread_gate    602  -0.590 -1.34  0.45  -361.2 [fail-fast]  fail
  AUDNZD level_breakout.pdh.7.all      1407  -0.055 -4.74  0.72   -78.1 [fail-fast]  fail
  AUDNZD level_breakout.pdh.7.highvol  1379  -0.056 -4.84  0.71   -78.2 [fail-fast]  fail
  AUDNZD level_breakout.pdh.13.all     1439  -0.076 -6.06  0.65  -112.8 [fail-fast]  fail
  AUDNZD level_breakout.pdh.13.highvol  1408  -0.077 -6.01  0.65  -110.4 [fail-fast]  fail
  AUDNZD level_breakout.pdh.17.all     1446  -0.043 -3.11  0.80   -70.7 [fail-fast]  fail
  AUDNZD level_breakout.pdh.17.highvol  1423  -0.041 -2.92  0.81   -66.6 [fail-fast]  fail
  AUDNZD level_breakout.week.7          139  -0.003 -0.16  0.96    -3.3 [fail-fast]  fail
  AUDNZD failed_breakout.base           701  -0.286 -1.31  0.68  -311.6 [fail-fast]  fail
  AUDNZD failed_breakout.spread_gate    617  -0.227 -0.92  0.74  -257.8 [fail-fast]  fail
