signal,form,sym,h,arm,t,corr,n_eff
SE_slope_10_2,level,EURSEK,1,"CONTEMP(lag0,untradable)",-0.38,-0.0064,3573
SE_slope_10_2,level,EURSEK,1,TRADABLE,-0.43,-0.0072,3573
SE_slope_10_2,level,EURSEK,5,"CONTEMP(lag0,untradable)",-0.5,-0.0186,713
SE_slope_10_2,level,EURSEK,5,TRADABLE,-0.57,-0.0212,714
SE_slope_10_2,level,EURSEK,20,"CONTEMP(lag0,untradable)",-0.69,-0.0522,177
SE_slope_10_2,level,EURSEK,20,TRADABLE,-0.73,-0.0547,177
SE_slope_10_2,level,USDSEK,1,"CONTEMP(lag0,untradable)",-1.24,-0.022,3173
SE_slope_10_2,level,USDSEK,1,TRADABLE,-0.65,-0.0115,3173
SE_slope_10_2,level,USDSEK,5,"CONTEMP(lag0,untradable)",-1.31,-0.0521,633
SE_slope_10_2,level,USDSEK,5,TRADABLE,-1.0,-0.0396,633
SE_slope_10_2,level,USDSEK,20,"CONTEMP(lag0,untradable)",-1.99,-0.1578,157
SE_slope_10_2,level,USDSEK,20,TRADABLE,-1.6,-0.1275,157
SE_slope_10_2,level,GBPSEK,1,"CONTEMP(lag0,untradable)",-0.78,-0.0133,3444
SE_slope_10_2,level,GBPSEK,1,TRADABLE,-0.75,-0.0127,3444
SE_slope_10_2,level,GBPSEK,5,"CONTEMP(lag0,untradable)",-0.51,-0.0195,688
SE_slope_10_2,level,GBPSEK,5,TRADABLE,-0.96,-0.0367,688
SE_slope_10_2,level,GBPSEK,20,"CONTEMP(lag0,untradable)",-0.64,-0.0489,171
SE_slope_10_2,level,GBPSEK,20,TRADABLE,-1.25,-0.0956,171
SE_slope_10_2,level,CHFSEK,1,"CONTEMP(lag0,untradable)",-1.7,-0.0409,1726
SE_slope_10_2,level,CHFSEK,1,TRADABLE,-1.12,-0.027,1726
SE_slope_10_2,level,CHFSEK,5,"CONTEMP(lag0,untradable)",-1.71,-0.0918,344
SE_slope_10_2,level,CHFSEK,5,TRADABLE,-1.23,-0.0661,344
SE_slope_10_2,level,CHFSEK,20,"CONTEMP(lag0,untradable)",-1.87,-0.2006,85
SE_slope_10_2,level,CHFSEK,20,TRADABLE,-1.56,-0.1687,85
SE_slope_10_2,level,NOKSEK,1,"CONTEMP(lag0,untradable)",-0.64,-0.0108,3448
SE_slope_10_2,level,NOKSEK,1,TRADABLE,-1.05,-0.0178,3448
SE_slope_10_2,level,NOKSEK,5,"CONTEMP(lag0,untradable)",-0.72,-0.0274,689
SE_slope_10_2,level,NOKSEK,5,TRADABLE,-1.19,-0.0455,688
SE_slope_10_2,level,NOKSEK,20,"CONTEMP(lag0,untradable)",-0.63,-0.0486,171
SE_slope_10_2,level,NOKSEK,20,TRADABLE,-1.32,-0.1011,171
SE_slope_10_2,level,SEKJPY,1,"CONTEMP(lag0,untradable)",1.89,0.0314,3611
SE_slope_10_2,level,SEKJPY,1,TRADABLE,1.01,0.0169,3611
SE_slope_10_2,level,SEKJPY,5,"CONTEMP(lag0,untradable)",2.6,0.0966,721
SE_slope_10_2,level,SEKJPY,5,TRADABLE,1.08,0.0401,721
SE_slope_10_2,level,SEKJPY,20,"CONTEMP(lag0,untradable)",2.75,0.2021,179
SE_slope_10_2,level,SEKJPY,20,TRADABLE,1.43,0.1069,179
SE_slope_10_2,chg5d,EURSEK,1,"CONTEMP(lag0,untradable)",-0.32,-0.0054,3573
SE_slope_10_2,chg5d,EURSEK,1,TRADABLE,0.46,0.0077,3573
SE_slope_10_2,chg5d,EURSEK,5,"CONTEMP(lag0,untradable)",-0.03,-0.0012,713
SE_slope_10_2,chg5d,EURSEK,5,TRADABLE,1.01,0.038,714
SE_slope_10_2,chg5d,EURSEK,20,"CONTEMP(lag0,untradable)",-0.28,-0.0212,177
SE_slope_10_2,chg5d,EURSEK,20,TRADABLE,0.38,0.0285,177
